Nombre,Website,Email,Score,Link_Demo_Local
"Registro de la Propiedad de Benidorm Nº 01","https://www.registradores.org/directorio/-/registros/propiedad/alicante/benidorm/registro-de-la-propiedad-de-benidorm-n-01","info@registradores.org",10,"./registro_de_la_propiedad_de_benidorm_n__/index.html"
"Luis López Abogado / Detective privado","https://www.abogado-detective.com/","info@abogado-detective.com",10,"./luis_l_pez_abogado___detective_privado/index.html"
"Sánchez y Quesada Notarios","http://www.sanchezyquesadanotarios.es/","info@sanchezyquesadanotarios.es",10,"./s_nchez_y_quesada_notarios/index.html"
"Francisco Fresneda Guillén","https://franciscofresnedaguillenabogado.es/","info@franciscofresnedaguillenabogado.es",10,"./francisco_fresneda_guill_n/index.html"
"Agencia de Santalucía Seguros","https://www.santalucia.es/agencias-de-seguros/alicante/benidorm/avenida-beniarda?utm_campaign=benidorm-avenida-beniarda&utm_medium=cita&utm_source=gmb","info@santalucia.es",10,"./agencia_de_santaluc_a_seguros/index.html"
"Marina Calero Abogada","https://www.linkedin.com/in/marina-c-95aa1015a/","info@linkedin.com",10,"./marina_calero_abogada/index.html"
"CUMLEX Abogados Benidorm","https://www.cumlexabogados.com/abogados-benidorm/","info@cumlexabogados.com",10,"./cumlex_abogados_benidorm/index.html"
"Marina Calero Abogada","https://www.linkedin.com/in/marina-c-95aa1015a/","info@linkedin.com",10,"./marina_calero_abogada/index.html"
"García y Pardo Abogados","http://www.abogadosbenidorm.com/","info@abogadosbenidorm.com",10,"./garc_a_y_pardo_abogados/index.html"
"Abogalex, Soluciones","http://abogalex.org/","info@abogalex.org",10,"./abogalex__soluciones/index.html"
"Luis Bajo Fernández Abogados","http://www.luisbajoabogados.com/","info@luisbajoabogados.com",10,"./luis_bajo_fern_ndez_abogados/index.html"
"Abogados Benidorm Bufete Del Campo","https://www.abogadosbenidormdc.es/","info@abogadosbenidormdc.es",10,"./abogados_benidorm_bufete_del_campo/index.html"
"Yolanda Pérez Guardiola.","https://www.yolandaperezguardiola-abogados-benidorm.com/","info@yolandaperezguardiola-abogados-benidorm.com",10,"./yolanda_p_rez_guardiola_/index.html"
"Nelly Kushkyan abogados en Benidorm","https://nkabogados.es/contacto/?utm_source=gmb&utm_medium=organic&utm_content=listing&utm_campaign=googlemybusinessbenidorm","info@nkabogados.es",10,"./nelly_kushkyan_abogados_en_benidorm/index.html"
"Rita Maturana Fosela","https://abogadabenidorm.com/","info@abogadabenidorm.com",10,"./rita_maturana_fosela/index.html"
"Abogado Nicolás Bruno Ovide","https://ovideabogados.es/","info@ovideabogados.es",10,"./abogado_nicol_s_bruno_ovide/index.html"
"Victor Manuel Bodas Torres","https://www.abogadobenidorm.com/","info@abogadobenidorm.com",10,"./victor_manuel_bodas_torres/index.html"
"CUMLEX Abogados Benidorm","https://www.cumlexabogados.com/abogados-benidorm/","info@cumlexabogados.com",10,"./cumlex_abogados_benidorm/index.html"
"Carlos Roglá Madrid - Procurador (ROMA Despacho jurídico)","http://www.procuradoresbenidorm.com.es/","info@procuradoresbenidorm.com.es",10,"./carlos_rogl__madrid___procurador__roma_d/index.html"
"Sebastian Parrilla ABOGADO","http://sebastianparrillaabogado.com/?utm_source=gmb&utm_medium=referral","info@sebastianparrillaabogado.com",10,"./sebastian_parrilla_abogado/index.html"
"ARTIGAS ABOGADOS","http://www.artigasabogados.com/","info@artigasabogados.com",10,"./artigas_abogados/index.html"
"Gallego Mira Abogados","http://www.gallegomira.com/","info@gallegomira.com",10,"./gallego_mira_abogados/index.html"
"Benidorm Abogados","https://benidormabogados.es/","info@benidormabogados.es",10,"./benidorm_abogados/index.html"
"Fashion city - Tienda de Moda","https://monrapiel.online/","info@monrapiel.online",10,"./fashion_city___tienda_de_moda/index.html"
"Tot Blanc Benidorm","http://www.totblancbenidorm.com/","info@totblancbenidorm.com",10,"./tot_blanc_benidorm/index.html"
"M47 Modas","https://www.m47modas.com/","info@m47modas.com",10,"./m47_modas/index.html"
"Pilar Prieto","http://www.pilarprieto.es/","info@pilarprieto.es",10,"./pilar_prieto/index.html"
"BH URBAN","https://bhurban.es/","info@bhurban.es",10,"./bh_urban/index.html"
"Pilar Prieto","http://www.pilarprieto.es/","info@pilarprieto.es",10,"./pilar_prieto/index.html"
"Pilar Prieto","http://www.pilarprieto.es/","info@pilarprieto.es",10,"./pilar_prieto/index.html"
"Koala Bay Benidorm Alejos","https://koalabay.com/es/","info@koalabay.com",10,"./koala_bay_benidorm_alejos/index.html"
"MANGO","https://shop.mango.com/es/es/h/mujer?utm_source=google&utm_medium=organic&utm_campaign=googlemaps","info@shop.mango.com",10,"./mango/index.html"
"D-Sastre Benidorm","https://www.d-sastre.com/","info@d-sastre.com",10,"./d_sastre_benidorm/index.html"
"Fresh Fashion Guru","http://www.terimehar.com/","info@terimehar.com",10,"./fresh_fashion_guru/index.html"
"Extravagance","https://extravagance.ueniweb.com/?utm_campaign=gmb","info@extravagance.ueniweb.com",10,"./extravagance/index.html"
"Fashion Benidorm Eiza Limited Edition","http://fashion-benidorm.company.site/","info@fashion-benidorm.company.site",10,"./fashion_benidorm_eiza_limited_edition/index.html"
"Zeeman","https://www.zeeman.com/fr/store/saint-cl--ment-rue-de-la-gaillarde?utm_source=google&utm_medium=organic&utm_campaign=gmb","info@zeeman.com",10,"./zeeman/index.html"
"dandara benidorm","http://www.dandara.es/","info@dandara.es",10,"./dandara_benidorm/index.html"
"BOUTIQUE RODEO DRIVE","http://www.boutiquerodeodrive.com/","info@boutiquerodeodrive.com",10,"./boutique_rodeo_drive/index.html"
"Sendín 1997, S.L.","https://sendin1997.com/","info@sendin1997.com",10,"./send_n_1997__s_l_/index.html"
"Angela Farach - Moda y Complementos","https://www.facebook.com/angelafarach","info@facebook.com",10,"./angela_farach___moda_y_complementos/index.html"
"Cool Benidorm","https://ecool.es/?utm_medium=maps&utm_source=google&utm_campaign=GBPBenidorm","info@ecool.es",10,"./cool_benidorm/index.html"
"First Class","https://monrapiel.online/","info@monrapiel.online",10,"./first_class/index.html"
"Cool Meeting | Benidorm","https://ecool.es/?utm_medium=maps&utm_source=google&utm_campaign=GBPBenidorm","info@ecool.es",10,"./cool_meeting___benidorm/index.html"
"Outlet city","https://cityoutlet.biz/","info@cityoutlet.biz",10,"./outlet_city/index.html"
"Boutique Luna (Eva Ruiz)","https://www.boutiqueluna.es/","info@boutiqueluna.es",10,"./boutique_luna__eva_ruiz_/index.html"
"Avenida Uno","http://avenidauno.com/","info@avenidauno.com",10,"./avenida_uno/index.html"
"MUTATIO SHOP, ICONIC WEARING","http://mutatioshop.com/","info@mutatioshop.com",10,"./mutatio_shop__iconic_wearing/index.html"
"Be bop","http://www.ecool.es/","info@ecool.es",10,"./be_bop/index.html"
"Chiquitines Benidorm","https://www.chiquitines.net/","info@chiquitines.net",10,"./chiquitines_benidorm/index.html"
"Base Benidorm","http://www.base.net/","info@base.net",10,"./base_benidorm/index.html"
"Tienda de moda urbana Benidorm Polinesia","https://www.polinesia.es/es-es/","info@polinesia.es",10,"./tienda_de_moda_urbana_benidorm_polinesia/index.html"
"AG25","http://www.ag-25.com/","info@ag-25.com",10,"./ag25/index.html"
"Bata Blanca","https://www.batablancauniformes.com/","info@batablancauniformes.com",10,"./bata_blanca/index.html"
"Belcoquet","http://www.belcoquet.es/","info@belcoquet.es",10,"./belcoquet/index.html"
"BTWIN by Avenida Uno","http://www.avenidauno.com/","info@avenidauno.com",10,"./btwin_by_avenida_uno/index.html"
"Lacoste","https://www.lacoste.com/sa/en/stores/spain/alicante/lacostebenidorm-1998","info@lacoste.com",10,"./lacoste/index.html"
"Engel & Völkers Real Estate Inmobiliaria en Benidorm","https://www.engelvoelkers.com/benidorm/","info@engelvoelkers.com",10,"./engel___v_lkers_real_estate_inmobiliaria/index.html"
"INMOBILIARIA K BENIDORM","https://inmoselect.com/comunidad-valenciana/benidorm/#desc4","info@inmoselect.com",10,"./inmobiliaria_k_benidorm/index.html"
"Inmobiliaria InmoSales Benidorm","https://www.inmosales.com/","info@inmosales.com",10,"./inmobiliaria_inmosales_benidorm/index.html"
"INMOEXT","http://www.inmoext.com/","info@inmoext.com",10,"./inmoext/index.html"
"Inmobiliaria Sol de Poniente","http://www.inmobiliariasoldeponiente.com/","info@inmobiliariasoldeponiente.com",10,"./inmobiliaria_sol_de_poniente/index.html"
"Inmobiliaria Selenhome S.L","https://selenhome.com/","info@selenhome.com",10,"./inmobiliaria_selenhome_s_l/index.html"
"Virtual Home Grupo Inmobiliario","http://www.virtual-home.es/","info@virtual-home.es",10,"./virtual_home_grupo_inmobiliario/index.html"
"TuCasaBenidorm.com: Publicita aquí tu venta, gestionada como propia. Propiedades selectas, dedicación total, VENTA segura.","https://tucasabenidorm.com/","info@tucasabenidorm.com",10,"./tucasabenidorm_com__publicita_aqu__tu_ve/index.html"
"Agencia Poniente","http://www.agenciaponiente.com/","info@agenciaponiente.com",10,"./agencia_poniente/index.html"
"Visual Home","https://www.visual-home.es/","info@visual-home.es",10,"./visual_home/index.html"
"RENTAL BENIDORM apARTs SL / CENTRO","https://rentalbenidorm.com/","info@rentalbenidorm.com",10,"./rental_benidorm_aparts_sl___centro/index.html"
"Inmobiliaria InmoSales Benidorm","https://www.inmosales.com/","info@inmosales.com",10,"./inmobiliaria_inmosales_benidorm/index.html"
"Juan Gomez Inmobiliaria","https://www.juangomezinmobiliaria.es/","info@juangomezinmobiliaria.es",10,"./juan_gomez_inmobiliaria/index.html"
"Euroloix","http://www.euroloix.com/","info@euroloix.com",10,"./euroloix/index.html"
"PELLICER GESTIÓN INMOBILIARIA","http://www.inmopellicer.com/","info@inmopellicer.com",10,"./pellicer_gesti_n_inmobiliaria/index.html"
"Sol Benidorm Grupo Inmobiliario","http://solbenidorm.es/","info@solbenidorm.es",10,"./sol_benidorm_grupo_inmobiliario/index.html"
"Inmobiliaria La Agencia M y M","http://www.laagenciamym.com/","info@laagenciamym.com",10,"./inmobiliaria_la_agencia_m_y_m/index.html"
"Agencia Gamma","http://www.inmogamma.net/","info@inmogamma.net",10,"./agencia_gamma/index.html"
"FV Inmobiliaria","https://fvinmobiliaria.com/es/info/quienes-somos","info@fvinmobiliaria.com",10,"./fv_inmobiliaria/index.html"
"GRUPO OLA AZUL INMOBILIARIA","http://www.grupolaazul.com/","info@grupolaazul.com",10,"./grupo_ola_azul_inmobiliaria/index.html"
"Velvet Servicios Inmobiliarios","http://www.velvetinmobiliaria.com/","info@velvetinmobiliaria.com",10,"./velvet_servicios_inmobiliarios/index.html"
"UBAGO","http://inmobiliariaubago.com/","info@inmobiliariaubago.com",10,"./ubago/index.html"
"Inmobiliaria AVILA Benidorm","https://www.inmobiliariaavila.com/","info@inmobiliariaavila.com",10,"./inmobiliaria_avila_benidorm/index.html"
"Agence immobilière Benidorm","https://agence-immobiliere-benidorm.com/","info@agence-immobiliere-benidorm.com",10,"./agence_immobili_re_benidorm/index.html"
"Apartamentos Hergumar","http://www.hergumarapartamentos.com/","info@hergumarapartamentos.com",10,"./apartamentos_hergumar/index.html"
"Visual Home","https://www.visual-home.es/","info@visual-home.es",10,"./visual_home/index.html"
"Los pisos de Concha","http://www.lospisosdeconcha.com/","info@lospisosdeconcha.com",10,"./los_pisos_de_concha/index.html"
"INMOBILIARIA TIFFANY ´S HOUSE en AV/ JUAN FUSTER ZARAGOZA N.º 10 LOCAL 6","https://www.pisos.com/inmobiliaria-tiffany_s_house/%20%20%20%20%20%20https://www.fotocasa.es/es/inmobiliaria-inmobiliaria-tiffany-s-house/comprar/inmuebles/espana/todas-las-zonas/l?clientId=9202768537474","info@pisos.com",10,"./inmobiliaria_tiffany__s_house_en_av__jua/index.html"
"Aila Homes","http://www.ailahomes.com/","info@ailahomes.com",10,"./aila_homes/index.html"
"Fincas Prime Real Estate","https://www.fincasprime.com/","info@fincasprime.com",10,"./fincas_prime_real_estate/index.html"
"Mc Home Benidorm","https://www.homebymc.com/","info@homebymc.com",10,"./mc_home_benidorm/index.html"
"Villas Levante","http://www.villaslevante.com/","info@villaslevante.com",10,"./villas_levante/index.html"
"Rex Invest Real Estate","http://www.rexinvest.es/","info@rexinvest.es",10,"./rex_invest_real_estate/index.html"
"Villas del Sur","https://www.villasdelsur.com/","info@villasdelsur.com",10,"./villas_del_sur/index.html"
"Mediterranean Properties","https://mediterraneanproperties.es/","info@mediterraneanproperties.es",10,"./mediterranean_properties/index.html"
"Jolly Roger Beach Bar Benidorm","https://www.instagram.com/jollyrogerbenidorm?igsh=NTY5bmlsM3dhdmx2","info@instagram.com",10,"./jolly_roger_beach_bar_benidorm/index.html"
"Planta 20 Lounge & Bar","http://www.planta20benidorm.com/","info@planta20benidorm.com",10,"./planta_20_lounge___bar/index.html"
"The City Sports Bar","http://thecitysportsbar.com/?utm_source=gmb&utm_medium=referral","info@thecitysportsbar.com",10,"./the_city_sports_bar/index.html"
"Olivers Bar Old Town","http://www.oliversbarbenidorm.com/","info@oliversbarbenidorm.com",10,"./olivers_bar_old_town/index.html"
"Silver Dollar PUB","https://www.instagram.com/silverdollarpub?igsh=NHhjdHlpbG9vcnBw","info@instagram.com",10,"./silver_dollar_pub/index.html"
"KU Lounge Café","http://www.kubenidorm.es/","info@kubenidorm.es",10,"./ku_lounge_caf_/index.html"
"SoL Beach Bar - Benidorm","https://lasentadita.com/locales-benidorm/sol-beach/","info@lasentadita.com",10,"./sol_beach_bar___benidorm/index.html"
"Rock & Roll House","https://www.facebook.com/pages/rock-roll-house-benidorm/109324379113787?ref=bookmarks","info@facebook.com",10,"./rock___roll_house/index.html"
"Sherry’s Bar","https://www.facebook.com/sherrysbarbenidorm/","info@facebook.com",10,"./sherry_s_bar/index.html"
"Dark Room Gay bar Benidorm","https://www.instagram.com/darkroombenidorm?igsh=djlxY3l5dGR5N3Iy&utm_source=qr","info@instagram.com",10,"./dark_room_gay_bar_benidorm/index.html"
"Yorkshire Pride","https://yorkshirepridegroup.com/","info@yorkshirepridegroup.com",10,"./yorkshire_pride/index.html"
"Jumping Jacks","http://www.benidormweekender.co.uk/","info@benidormweekender.co.uk",10,"./jumping_jacks/index.html"
"Bar Mariano´s","https://www.facebook.com/losmarianos","info@facebook.com",10,"./bar_mariano_s/index.html"
"Bar de Deportes y Música Winners","https://www.facebook.com/winnersbarbenidorm","info@facebook.com",10,"./bar_de_deportes_y_m_sica_winners/index.html"
"KU Lounge Café","http://www.kubenidorm.es/","info@kubenidorm.es",10,"./ku_lounge_caf_/index.html"
"DiscoMar & Company Bar","https://www.facebook.com/companybarbeni","info@facebook.com",10,"./discomar___company_bar/index.html"
"GAZTELUTXO","https://www.gaztelutxo.com/","info@gaztelutxo.com",10,"./gaztelutxo/index.html"
"The Lazy Cow","https://www.instagram.com/explore/locations/35136718/the-lazy-cow-benidorm/","info@instagram.com",10,"./the_lazy_cow/index.html"
"Morgan Tavern","https://www.hotelesbenidorm.com/bares-y-pubs/morgan-tavern/","info@hotelesbenidorm.com",10,"./morgan_tavern/index.html"
"Stars Lounge Bar","http://starsloungebar.wordpress.com/","info@starsloungebar.wordpress.com",10,"./stars_lounge_bar/index.html"
"Kafee Klee","https://www.facebook.com/KleeKafee","info@facebook.com",10,"./kafee_klee/index.html"
"Penélope Beach Club","http://penelopebenidorm.com/","info@penelopebenidorm.com",10,"./pen_lope_beach_club/index.html"
"LA CUEVA","https://sexbenidorm.com/","info@sexbenidorm.com",10,"./la_cueva/index.html"
"Millers bar Benidorm","http://www.fkitparties.com/","info@fkitparties.com",10,"./millers_bar_benidorm/index.html"
"DISCOTECA PENELOPE BENIDORM","http://www.penelopebenidorm.com/","info@penelopebenidorm.com",10,"./discoteca_penelope_benidorm/index.html"
"New Incognito Benidorm. Gay Mature Daddies Disco","http://www.newincognito.net/","info@newincognito.net",10,"./new_incognito_benidorm__gay_mature_daddi/index.html"
"Pepe's Bar","http://www.pepesbar.com/","info@pepesbar.com",10,"./pepe_s_bar/index.html"
"Thesquare Benidorm Disco","http://www.thesquarebenidorm.com/","info@thesquarebenidorm.com",10,"./thesquare_benidorm_disco/index.html"
"The Tropical House","http://www.instagram.com/thetropicalhousebenidorm","info@instagram.com",10,"./the_tropical_house/index.html"
"Millers bar Benidorm","http://www.fkitparties.com/","info@fkitparties.com",10,"./millers_bar_benidorm/index.html"
"Thesquare Benidorm Disco","http://www.thesquarebenidorm.com/","info@thesquarebenidorm.com",10,"./thesquare_benidorm_disco/index.html"
"Nuevo Estilo","http://www.nuevoestilo.club/","info@nuevoestilo.club",10,"./nuevo_estilo/index.html"
"SPACE MORNING CLUB","https://www.facebook.com/pages/SPACE-BENIDORM/142155837531","info@facebook.com",10,"./space_morning_club/index.html"
"La Jungla Benidorm","https://instagram.com/lajunglabenidorm?igshid=YmMyMTA2M2Y=","info@instagram.com",10,"./la_jungla_benidorm/index.html"
"Benimont","https://www.benimont.es/","info@benimont.es",10,"./benimont/index.html"
"Barrels Benidorm","https://linktr.ee/barrelsbenidorm?fbclid=PAAaZ1gWxJAxOQMO7QEK06GaZbb_j1ARLlmeh0XZp7rmIMNptW63gUjfy7Ipg","info@linktr.ee",10,"./barrels_benidorm/index.html"
"Sensations Benidorm","https://www.facebook.com/sensations.benidorm/","info@facebook.com",10,"./sensations_benidorm/index.html"
"Tiki Beach","https://tikigroupbenidorm.com/es","info@tikigroupbenidorm.com",10,"./tiki_beach/index.html"
"Rooftop Bar","http://theagirspringshotel.com/","info@theagirspringshotel.com",10,"./rooftop_bar/index.html"
"People Pub Benidorm","http://www.newpeoplebenidorm.com/","info@newpeoplebenidorm.com",10,"./people_pub_benidorm/index.html"
"Bar The Red Lion 2","https://bartheredlion2.shop/","info@bartheredlion2.shop",10,"./bar_the_red_lion_2/index.html"
"Ibrox Bar Benidorm","https://theibroxbar.shop/","info@theibroxbar.shop",10,"./ibrox_bar_benidorm/index.html"
"Cocoa Benidorm Cafetería & Bar & Brunch","https://instagram.com/cocoabenidorm?utm_medium=copy_link","info@instagram.com",10,"./cocoa_benidorm_cafeter_a___bar___brunch/index.html"
"Red Dog Western Salon","https://atouchofclasscabaret.com/red-dog/?utm_source=google&utm_medium=mybusiness","info@atouchofclasscabaret.com",10,"./red_dog_western_salon/index.html"
"Portobello Discoteca Pub","https://www.facebook.com/pages/Portobello-Benidorm/1508337579446284","info@facebook.com",10,"./portobello_discoteca_pub/index.html"
"Porkys Karaoke","https://www.instagram.com/porkys_karaoke_benidorm_2023?igshid=OGQ5ZDc2ODk2ZA==","info@instagram.com",10,"./porkys_karaoke/index.html"
"The Crown Pub","https://www.facebook.com/TheCrownBenidormSportBar/","info@facebook.com",10,"./the_crown_pub/index.html"
"La sal bar de copas","https://www.instagram.com/la_sal_benidorm","info@instagram.com",10,"./la_sal_bar_de_copas/index.html"
"Mirador de San Jaime","http://www.visitbenidorm.es/","info@visitbenidorm.es",10,"./mirador_de_san_jaime/index.html"
"Funky Flamingo","https://www.facebook.com/funkyflamingobenidorm/","info@facebook.com",10,"./funky_flamingo/index.html"
"Andy's simply the best","https://www.facebook.com/andysbarbenidorm","info@facebook.com",10,"./andy_s_simply_the_best/index.html"
"JJ Bar Private","https://www.facebook.com/p/Private-Bar-JJ-Benidorm-61550198877000/","info@facebook.com",10,"./jj_bar_private/index.html"
"The White Lion","https://www.instagram.com/thewhitelionbenidorm/","info@instagram.com",10,"./the_white_lion/index.html"
"Gran H La Marina 1920","http://www.granhlamarina.com/","info@granhlamarina.com",10,"./gran_h_la_marina_1920/index.html"
"Hotel La Estación","https://www.hotellaestacionbenidorm.com/","info@hotellaestacionbenidorm.com",10,"./hotel_la_estaci_n/index.html"
"Poseidon Resort (Hotel Poseidon)","http://www.poseidon-resort.com/","info@poseidon-resort.com",10,"./poseidon_resort__hotel_poseidon_/index.html"
"Helios Benidorm","https://www.helioshotels.com/hotel-helios-benidorm/","info@helioshotels.com",10,"./helios_benidorm/index.html"
"Barceló Benidorm Beach - Adults Recommended","https://www.barcelo.com/es-es/barcelo-benidorm-beach/?utm_source=google&utm_medium=organic&utm_campaign=my_business&utm_content=41055","info@barcelo.com",10,"./barcel__benidorm_beach___adults_recommen/index.html"
"Hotel Voramar Benidorm","http://www.hotelvoramarbenidorm.com/","info@hotelvoramarbenidorm.com",10,"./hotel_voramar_benidorm/index.html"
"Hotel Alameda","https://www.hotelalamedabenidorm.com/","info@hotelalamedabenidorm.com",10,"./hotel_alameda/index.html"
"Hotel RH Sol","https://www.hotelrhsol.com/","info@hotelrhsol.com",10,"./hotel_rh_sol/index.html"
"Hotel BCL Levante Club & Spa","https://hotelesbcl.com/es/hoteles/hotel-bcl-levante-club-spa/","info@hotelesbcl.com",10,"./hotel_bcl_levante_club___spa/index.html"
"KAKTUS Hotel Benikaktus","https://www.kaktushotels.com/hotel-benikaktus/","info@kaktushotels.com",10,"./kaktus_hotel_benikaktus/index.html"
"Hotel Regente","http://www.medplaya.com/","info@medplaya.com",10,"./hotel_regente/index.html"
"Hotel Bristol","http://www.hotelbristolbenidorm.com/","info@hotelbristolbenidorm.com",10,"./hotel_bristol/index.html"
"The Level at Meliá Villaitana","https://www.melia.com/es/hoteles/espana/benidorm/the-level-at-melia-villaitana?utm_campaign=google&utm_content=0319&utm_medium=organic&utm_source=directories","info@melia.com",10,"./the_level_at_meli__villaitana/index.html"
"Hotel Los Álamos Benidorm","http://www.losalamos.es/","info@losalamos.es",10,"./hotel_los__lamos_benidorm/index.html"
"KAKTUS Hotel Kaktus Albir","https://www.kaktushotels.com/hotel-kaktus-albir/","info@kaktushotels.com",10,"./kaktus_hotel_kaktus_albir/index.html"
"Albir Garden Resort","https://www.albirgardenresort.com/","info@albirgardenresort.com",10,"./albir_garden_resort/index.html"
"Nomad Resort Benidorm","https://nomadhotelcollection.com/","info@nomadhotelcollection.com",10,"./nomad_resort_benidorm/index.html"
"Villa España Hotel","http://hotelvillaespana.com/","info@hotelvillaespana.com",10,"./villa_espa_a_hotel/index.html"
"Hotel Golden","http://www.hotelgolden.net/","info@hotelgolden.net",10,"./hotel_golden/index.html"
"Hotel Benilux Park","http://www.hotelbeniluxpark.eurorentals.info/","info@hotelbeniluxpark.eurorentals.info",10,"./hotel_benilux_park/index.html"
"Spanglish Hostel Benidorm","https://spanglishhostel.com/","info@spanglishhostel.com",10,"./spanglish_hostel_benidorm/index.html"
"Trebol One Apartments by MC","https://mcalojamientos.com/es/alojamientos/Trebol-One-Apartamentos?utm_medium=organic&utm_source=google&utm_campaign=google-my-business&utm_term=google-local&utm_id=mc-trebol","info@mcalojamientos.com",10,"./trebol_one_apartments_by_mc/index.html"
"Hostel Welcome Benidorm","http://www.hostelbenidormbeach.es/","info@hostelbenidormbeach.es",10,"./hostel_welcome_benidorm/index.html"
"Hostal Anna Benidorm","https://hostalannabenidorm.com/","info@hostalannabenidorm.com",10,"./hostal_anna_benidorm/index.html"
"Pensión Rosa","https://pensionrosa.es/","info@pensionrosa.es",10,"./pensi_n_rosa/index.html"
